"Date","Workout Name","Exercise Name","Set Order","Weight","Reps","Distance","Seconds","Notes","Workout Notes","RPE"
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Seated Calf Raise",20,115,10,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Seated Calf Raise",19,115,14,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Seated Calf Raise",18,90,16,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Standing Calf Raise",17,320,10,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Standing Calf Raise",16,320,10,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Standing Calf Raise",15,270,10,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Barbell Shrug",14,135,10,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Barbell Shrug",13,90,12,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Close Grip Lat Pulldown",12,160,8,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Close Grip Lat Pulldown",11,145,8,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Close Grip Lat Pulldown",10,130,8,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Wide-Grip Pull-Up",9,182,7,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Wide-Grip Pull-Up",8,172,8,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Wide-Grip Pull-Up",7,157,8,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Barbell Row",6,65,5,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Barbell Row",5,65,5,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Barbell Row",4,55,5,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Deadlift (Barbell)",3,115,5,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Deadlift (Barbell)",2,115,5,0,0,"","",""
"2018-04-01 11:00:56","BLS P1 5 Back Calves","Deadlift (Barbell)",1,115,5,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Air Bicycles",18,0,10,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",17,0,14,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Cable Crunch",16,150,10,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Air Bicycles",15,0,30,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",14,0,12,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Cable Crunch",13,165,10,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Air Bicycles",12,0,20,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",11,0,20,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Cable Crunch",10,150,14,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",9,40,7,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",8,40,9,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",7,40,8,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Side Lateral Raise",6,50,7,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Side Lateral Raise",5,40,10,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Side Lateral Raise",4,40,10,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Seated Military Press",3,180,5,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Seated Military Press",2,180,6,0,0,"","",""
"2018-04-02 16:17:40","BLS P1 5 Shoulders Abs","Seated Military Press",1,180,5,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Calf Raise On The Leg Press",14,180,10,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Calf Raise On The Leg Press",13,230,10,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Calf Raise On The Leg Press",12,270,10,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Calf Raise On The Leg Press",11,270,10,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Calf Raise On The Leg Press",10,180,10,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Calf Raise On The Leg Press",9,90,10,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Romanian Deadlift",8,110,5,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Romanian Deadlift",7,105,6,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Romanian Deadlift",6,95,6,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Leg Press",5,360,6,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Leg Press",4,360,6,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Squat (Barbell)",3,65,6,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Squat (Barbell)",2,95,4,0,0,"","",""
"2018-04-04 16:22:53","BLS P1 5 Legs","Squat (Barbell)",1,95,4,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Air Bicycles",24,0,0,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Captains Chair Leg Raise",23,0,0,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Cable Crunch",22,0,0,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Air Bicycles",21,0,0,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Captains Chair Leg Raise",20,156,25,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Cable Crunch",19,165,10,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Air Bicycles",18,156,12,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Captains Chair Leg Raise",17,156,20,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Cable Crunch",16,165,12,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Seated Triceps Press",15,42.5,8,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Seated Triceps Press",14,42.5,8,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Seated Triceps Press",13,42.5,8,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Alternating Dumbbell Curl",12,45,6,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Alternating Dumbbell Curl",11,45,6,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Alternating Dumbbell Curl",10,45,6,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Close-Grip Bench Press",9,135,7,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Close-Grip Bench Press",8,135,6,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Close-Grip Bench Press",7,115,8,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Barbell Curl",6,100,5,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Barbell Curl",5,100,6,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Barbell Curl",4,80,6,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Incline Barbell Bench Press",3,135,8,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Incline Barbell Bench Press",2,115,8,0,0,"","",""
"2018-04-05 15:34:24","BLS P1 5 Upper Body Abs","Incline Barbell Bench Press",1,95,8,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Air Bicycles",21,155,15,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Captains Chair Leg Raise",20,155,13,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Cable Crunch",19,170,10,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Air Bicycles",18,155,20,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Captains Chair Leg Raise",17,155,13,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Cable Crunch",16,170,12,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Air Bicycles",15,155,16,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Captains Chair Leg Raise",14,155,30,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Cable Crunch",13,170,12,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Face Pull",12,40,12,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Face Pull",11,40,12,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Face Pull",10,30,10,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Bench Press (Barbell)",9,175,5,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Bench Press (Barbell)",8,175,5,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Bench Press (Barbell)",7,185,3,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Incline Dumbbell Bench Press",6,120,7,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Incline Dumbbell Bench Press",5,120,7,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Incline Dumbbell Bench Press",4,110,8,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Incline Barbell Bench Press",3,155,5,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Incline Barbell Bench Press",2,155,5,0,0,"","",""
"2018-04-07 13:45:48","BLS P1 5 Chest Abs","Incline Barbell Bench Press",1,155,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Seated Calf Raise",20,115,12,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Seated Calf Raise",19,115,12,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Seated Calf Raise",18,115,12,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Standing Calf Raise",17,270,12,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Standing Calf Raise",16,270,12,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Standing Calf Raise",15,270,12,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Barbell Shrug",14,130,10,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Barbell Shrug",13,130,10,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Close Grip Lat Pulldown",12,160,7,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Close Grip Lat Pulldown",11,160,8,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Close Grip Lat Pulldown",10,160,8,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Wide-Grip Pull-Up",9,192.5,5,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Wide-Grip Pull-Up",8,192.5,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Wide-Grip Pull-Up",7,192.5,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Barbell Row",6,95,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Barbell Row",5,95,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Barbell Row",4,95,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Deadlift (Barbell)",3,115,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Deadlift (Barbell)",2,115,6,0,0,"","",""
"2018-04-08 15:54:24","BLS P1 5 Back Calves","Deadlift (Barbell)",1,115,6,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Air Bicycles",18,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",17,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Cable Crunch",16,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Air Bicycles",15,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",14,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Cable Crunch",13,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Air Bicycles",12,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Captains Chair Leg Raise",11,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Cable Crunch",10,0,0,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",9,45,10,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",8,45,11,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Bent-Over Dumbbell Rear Delt Raise",7,45,10,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Side Lateral Raise",6,45,10,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Side Lateral Raise",5,45,10,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Side Lateral Raise",4,45,10,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Seated Military Press",3,180,4,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Seated Military Press",2,180,4,0,0,"","",""
"2018-04-09 16:38:30","BLS P1 5 Shoulders Abs","Seated Military Press",1,180,4,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Calf Raise On The Leg Press",14,180,12,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Calf Raise On The Leg Press",13,180,12,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Calf Raise On The Leg Press",12,230,12,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Calf Raise On The Leg Press",11,230,12,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Calf Raise On The Leg Press",10,230,12,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Calf Raise On The Leg Press",9,230,12,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Romanian Deadlift",8,125,6,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Romanian Deadlift",7,115,6,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Romanian Deadlift",6,105,6,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Leg Press",5,405,6,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Leg Press",4,405,5,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Squat (Barbell)",3,105,4,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Squat (Barbell)",2,105,6,0,0,"","",""
"2018-04-11 08:52:14","BLS P1 5 Legs","Squat (Barbell)",1,105,6,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Air Bicycles",24,153,15,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Captains Chair Leg Raise",23,153,15,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Cable Crunch",22,165,10,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Air Bicycles",21,153,15,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Captains Chair Leg Raise",20,153,12,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Cable Crunch",19,165,10,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Air Bicycles",18,153,20,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Captains Chair Leg Raise",17,153,25,0,0,"","",""
"2018-04-12 13:03:06","BLS P1 5 Upper Body Abs","Cable Crunch",16,180,12,0,0,"","",""
